City,Brand,Model,Year,Body,Color,Engine,Engine Power,Fuel Type,Mileage,Gearbox,Transmission,Being new,Price
Sumqayıt,Hyundai,Santa Fe,2008,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,175 984 km,Avtomat,Ön,Xeyr,22 700
Bakı,Hyundai,Grandeur,2017,Sedan,Qara,2.4 L,201 a.g.,Benzin,82 000 km,Avtomat,Ön,Xeyr,45 500
Bakı,Kia,Rio,2006,Sedan,Yaş Asfalt,1.4 L,97 a.g.,Benzin,240 000 km,Mexaniki,Ön,Xeyr,11 600
Sumqayıt,LADA (VAZ),2106,1997,Sedan,Ağ,1.6 L,75 a.g.,Benzin,99 000 km,Mexaniki,Arxa,Xeyr,4 800
Biləsuvar,LADA (VAZ),2106,1992,Sedan,Ağ,1.5 L,65 a.g.,Benzin,56 525 km,Mexaniki,Arxa,Xeyr,3 800
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,170 a.g.,Benzin,210 000 km,Avtomat,Tam,Xeyr,8 900
Bakı,Porsche,Cayenne,2017,Offroader / SUV,Ağ,3.6 L,420 a.g.,Benzin,94 100 km,Avtomat,Tam,Xeyr,55 700
Bakı,Volkswagen,Passat,2003,Sedan,Göy,1.8 L,150 a.g.,Benzin,172 400 km,Avtomat,Ön,Xeyr,6 800
Quba,LADA (VAZ),2107,2002,Sedan,Ağ,1.6 L,75 a.g.,Benzin,259 780 km,Mexaniki,Arxa,Xeyr,3 900
Bakı,Hyundai,ix35,2010,Offroader / SUV,Ağ,2.0 L,163 a.g.,Benzin,181 000 km,Avtomat,Tam,Xeyr,23 800
Gədəbəy,Opel,Astra,2005,Hetçbek / Liftbek,Qara,1.4 L,90 a.g.,Benzin,150 000 km,Mexaniki,Ön,Xeyr,10 500
Bakı,GAZ,31105,2006,Sedan,Gümüşü,2.5 L,131 a.g.,Benzin,290 000 km,Mexaniki,Arxa,Xeyr,4 800
Bakı,Toyota,Highlander,2022,Offroader / SUV,Yaş Asfalt,2.5 L,249 a.g.,Hibrid,0 km,Avtomat,Tam,Bəli,56 800
Bakı,Chevrolet,Malibu,2018,Sedan,Ağ,1.5 L,160 a.g.,Benzin,89 000 km,Avtomat,Ön,Xeyr,13 500
Şirvan,Mercedes,E 280,2001,Sedan,Göy,2.8 L,204 a.g.,Benzin,326 412 km,Avtomat,Arxa,Xeyr,14 000
Bakı,LADA (VAZ),2106,1999,Sedan,Ağ,1.6 L,75 a.g.,Benzin,93 854 km,Mexaniki,Arxa,Xeyr,5 500
Bakı,Hyundai,ix35,2012,Offroader / SUV,Ağ,2.0 L,184 a.g.,Dizel,200 000 km,Avtomat,Tam,Xeyr,21 500
Bakı,LADA (VAZ),Niva,2014,Offroader / SUV,Boz,1.7 L,80 a.g.,Benzin,172 500 km,Mexaniki,Tam,Xeyr,11 800
Sumqayıt,Baic,A113/A115,2014,Sedan,Qara,1.5 L,113 a.g.,Benzin,300 000 km,Avtomat,Ön,Xeyr,11 600
Bakı,Ford,Mustang,2016,Kupe,Boz,2.3 L,309 a.g.,Benzin,68 000 km,Avtomat,Arxa,Xeyr,27 000
Bakı,Hyundai,Santa Fe,2010,Offroader / SUV,Boz,2.0 L,184 a.g.,Dizel,138 000 km,Avtomat,Ön,Xeyr,23 600
Xaçmaz,LADA (VAZ),2106,1976,Sedan,Ağ,1.6 L,75 a.g.,Benzin,599 999 km,Mexaniki,Arxa,Xeyr,3 000
Bakı,Hyundai,i30,2011,Hetçbek / Liftbek,Ağ,1.6 L,116 a.g.,Dizel,230 000 km,Mexaniki,Ön,Xeyr,14 700
Bakı,Mercedes,E 400,2014,Sedan,Yaş Asfalt,3.0 L,333 a.g.,Benzin,186 400 km,Avtomat,Arxa,Xeyr,29 900
Sumqayıt,LADA (VAZ),21099,1994,Sedan,Ağ,1.6 L,80 a.g.,Benzin,251 063 km,Mexaniki,Ön,Xeyr,4 500
Sumqayıt,Toyota,Corolla,2006,Universal,Gümüşü,1.4 L,90 a.g.,Dizel,137 000 km,Mexaniki,Ön,Xeyr,14 500
Bakı,Volkswagen,Passat,2013,Sedan,Boz,2.0 L,170 a.g.,Dizel,143 000 km,Avtomat,Ön,Xeyr,25 500
Bakı,Chevrolet,Cruze,2014,Sedan,Qırmızı,1.4 L,141 a.g.,Benzin,187 000 km,Avtomat,Ön,Xeyr,13 700
Naxçıvan,Hyundai,Azera,2012,Sedan,Qara,2.4 L,188 a.g.,Benzin,150 000 km,Avtomat,Ön,Xeyr,29 800
Bakı,Mercedes,E 220,1996,Sedan,Göy,2.2 L,143 a.g.,Dizel,398 500 km,Avtomat,Arxa,Xeyr,11 000
Bərdə,Mercedes,E 270,2002,Sedan,Qara,2.7 L,177 a.g.,Dizel,295 000 km,Avtomat,Arxa,Xeyr,17 800
Bakı,Kia,Mohave,2009,Offroader / SUV,Gümüşü,3.8 L,274 a.g.,Benzin,96 000 km,Avtomat,Tam,Xeyr,21 000
Gəncə,LADA (VAZ),2106,1991,Sedan,Göy,1.6 L,65 a.g.,Benzin,160 000 km,Mexaniki,Arxa,Xeyr,4 200
Bakı,Toyota,Land Cruiser,2007,Offroader / SUV,Ağ,4.5 L,286 a.g.,Dizel,220 000 km,Avtomat,Tam,Xeyr,37 500
Bakı,Mercedes,C 180,1994,Sedan,Qara,1.8 L,122 a.g.,Benzin,255 555 km,Mexaniki,Arxa,Xeyr,6 500
Bakı,Hyundai,Elantra,2017,Sedan,Qara,2.0 L,150 a.g.,Benzin,118 287 km,Avtomat,Ön,Xeyr,27 900
Bakı,BMW,520,2016,Sedan,Qara,2.0 L,184 a.g.,Benzin,90 000 km,Avtomat,Arxa,Xeyr,27 500
Tovuz,Mercedes,C 180,1998,Sedan,Qara,1.8 L,122 a.g.,Benzin,414 800 km,Avtomat,Arxa,Xeyr,11 200
Bakı,Hyundai,Sonata,2010,Sedan,Qara,2.4 L,174 a.g.,Benzin,185 000 km,Avtomat,Ön,Xeyr,20 000
Sumqayıt,Nissan,Micra,2012,Hetçbek / Liftbek,Narıncı,1.2 L,76 a.g.,Benzin,39 000 km,Avtomat,Ön,Xeyr,11 800
Gəncə,BMW,X5,2006,Offroader / SUV,Ağ,4.8 L,360 a.g.,Benzin,218 000 km,Avtomat,Tam,Xeyr,20 000
Bakı,Toyota,Prius,2008,Hetçbek / Liftbek,Qırmızı,1.5 L,76 a.g.,Hibrid,240 000 km,Avtomat,Ön,Xeyr,13 600
Bakı,Chevrolet,Cruze,2011,Sedan,Qara,1.4 L,141 a.g.,Benzin,170 250 km,Avtomat,Ön,Xeyr,12 250
Lənkəran,Toyota,Camry,2022,Sedan,Ağ,2.5 L,218 a.g.,Hibrid,0 km,Avtomat,Ön,Bəli,44 900
